PU_Gap_Code,PU_Code,Gap_Code,HUC8_Basin_Name,CREP_Area,CRP_Area,NRCS_Area,CSP_Area,FDA_Area,IDNR_Area,NP_Area,All_Conservation_Area,Total_Area,Shape_Length,Shape_Area,CRP_Percent,CREP_Percent,NRCS_Percent,CSP_Percent,FDA_Percent,INDR_Percent,NP_Percent,Total_Conservation_Percent,size_class,C_Order,Link,DS_Order,DS_Link,US_L3NAME,NA_L2NAME,EPA_REGION
kasky3706,kasky,3706,Lower,0,0,0,0,0,0,0,0,60955.34818,1207.050529,61022.02627,0,0,0,0,0,0,0,0,2,5,194,5,195,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3707,kasky,3707,Lower,0,0,0,0,0,0,0,0,300240.2258,3500.628781,300539.4483,0,0,0,0,0,0,0,0,1,2,3,2,4,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3708,kasky,3708,Lower,0,0,0,0,0,0,0,0,2977915.574,10683.2375,2980831.728,0,0,0,0,0,0,0,0,1,1,1,2,4,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3709,kasky,3709,Shoal,0,878637.2753,0,0,0,0,0,878637.2753,2321048.204,12919.22375,2324353.124,0.378551929,0,0,0,0,0,0,0.378551929,1,1,1,6,392,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky371,kasky,371,Upper,0,0,0,0,0,0,0,0,1591374.327,8216.873917,1595961.819,0,0,0,0,0,0,0,0,1,1,1,2,2,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky3710,kasky,3710,Shoal,0,426241.4826,0,0,32113.35966,0,0,458354.8423,1177354.12,6942.458605,1179040.126,0.362033372,0,0,0,0.027275871,0,0,0.389309244,2,6,391,6,392,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3711,kasky,3711,Shoal,0,0,0,0,0,0,0,0,10917.48221,664.1949992,10933.01287,0,0,0,0,0,0,0,0,2,6,392,6,393,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3712,kasky,3712,Shoal,0,0,0,0,0,0,0,0,1580433.089,8753.810487,1582665.944,0,0,0,0,0,0,0,0,1,1,1,6,393,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3713,kasky,3713,Middle,0,17616.88469,0,0,0,0,0,17616.88469,383049.1322,3623.442806,383848.1303,0.045991188,0,0,0,0,0,0,0.045991188,1,2,4,2,5,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3714,kasky,3714,Lower,0,0,0,0,0,0,0,0,625059.2654,4949.025144,625629.8389,0,0,0,0,0,0,0,0,2,3,11,3,12,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3715,kasky,3715,Lower,0,0,0,0,0,0,0,0,4033209.603,15077.45825,4036796.833,0,0,0,0,0,0,0,0,1,1,1,3,12,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3716,kasky,3716,Middle,0,0,0,0,0,0,0,0,2623095.749,10328.00591,2629201.57,0,0,0,0,0,0,0,0,1,1,1,2,4,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3717,kasky,3717,Lower,0,0,0,0,0,0,0,0,708755.3915,6578.987591,709465.1971,0,0,0,0,0,0,0,0,1,2,4,2,5,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3718,kasky,3718,Middle,0,46224.73059,0,0,51.61906781,0,0,46276.34966,2536701.232,11897.25304,2542136.971,0.018222379,0,0,0,2.03E-05,0,0,0.018242728,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3719,kasky,3719,Middle,0,0,0,0,0,0,0,0,977173.0685,6399.827826,978700.1266,0,0,0,0,0,0,0,0,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky372,kasky,372,Upper,0,64685.549,0,0,0,0,0,64685.549,8513457.615,20452.83337,8541953.755,0.007598035,0,0,0,0,0,0,0.007598035,1,2,5,3,7,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky3720,kasky,3720,Middle,0,0,0,0,33091.01482,0,0,33091.01482,4481963.51,12497.84668,4489072.747,0,0,0,0,0.007383151,0,0,0.007383151,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3721,kasky,3721,Middle,0,111981.3578,0,54045.89692,0,0,0,166027.2547,2263737.96,9359.669572,2268077.877,0.049467456,0,0,0.023874626,0,0,0,0.073342082,1,1,1,4,86,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3722,kasky,3722,Lower,0,0,0,0,0,0,0,0,2563026.957,11709.50446,2565610.649,0,0,0,0,0,0,0,0,1,1,1,2,6,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3723,kasky,3723,Lower,0,0,0,0,0,0,0,0,30934.36844,905.3648027,30965.64791,0,0,0,0,0,0,0,0,1,2,5,2,6,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3724,kasky,3724,Middle,0,0,0,0,0,0,0,0,1877055.642,8394.099034,1880929.974,0,0,0,0,0,0,0,0,1,1,1,2,5,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3725,kasky,3725,Lower,0,0,0,0,0,0,0,0,1250130.858,7484.221779,1251238.391,0,0,0,0,0,0,0,0,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3726,kasky,3726,Lower,0,0,0,0,0,0,0,0,3294333.287,13065.82385,3297217.316,0,0,0,0,0,0,0,0,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3727,kasky,3727,Middle,0,0,0,661.4588561,40485.06489,0,0,41146.52375,1546772.916,7670.070459,1550152.708,0,0,0,4.28E-04,0.02617389,0,0,0.026601528,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3728,kasky,3728,Middle,0,0,0,0,25989.4151,0,0,25989.4151,2064473.924,9300.397882,2068977.97,0,0,0,0,0.01258888,0,0,0.01258888,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3729,kasky,3729,Lower,0,0,0,0,0,0,0,0,961715.5638,5975.187514,962584.6618,0,0,0,0,0,0,0,0,2,3,12,3,14,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky373,kasky,373,Upper,0,52847.5481,0,0,0,0,0,52847.5481,825253.4829,6767.790873,827983.3128,0.064037958,0,0,0,0,0,0,0.064037958,1,3,7,3,8,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky3730,kasky,3730,Lower,0,0,0,0,0,0,0,0,658732.669,5552.816386,659321.0788,0,0,0,0,0,0,0,0,1,2,2,3,14,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3731,kasky,3731,Middle,0,2338597.341,0,0,22428.12248,0,0,2361025.464,1943502.15,7325.426481,1948059.952,1.203290329,0,0,0,0.011540055,0,0,1.214830384,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3732,kasky,3732,Lower,0,0,0,0,0,0,0,0,11179300.04,21307.97922,11192041.91,0,0,0,0,0,0,0,0,1,1,1,5,195,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3733,kasky,3733,Middle,0,540867.0114,0,0,0,0,0,540867.0114,1315617.674,7368.159352,1318611.548,0.411112607,0,0,0,0,0,0,0.411112607,1,1,1,3,6,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3734,kasky,3734,Lower,0,0,0,0,0,0,0,0,3256334.473,10803.59474,3259436.938,0,0,0,0,0,0,0,0,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3735,kasky,3735,Lower,0,0,0,0,0,0,0,0,1426642.774,6578.858916,1427984.621,0,0,0,0,0,0,0,0,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3736,kasky,3736,Middle,0,0,0,0,0,0,0,0,20013.48783,966.3005427,20058.90354,0,0,0,0,0,0,0,0,1,3,5,3,6,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3737,kasky,3737,Middle,0,0,0,0,0,0,0,0,235647.1976,3019.85121,236180.8153,0,0,0,0,0,0,0,0,1,3,6,3,7,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3738,kasky,3738,Middle,0,0,0,0,0,0,0,0,1913419.212,9361.227166,1917748.993,0,0,0,0,0,0,0,0,1,1,1,3,7,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3739,kasky,3739,Middle,0,0,0,0,0,0,0,0,1751479.347,7247.124017,1755181.033,0,0,0,0,0,0,0,0,2,3,23,3,25,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky374,kasky,374,Upper,0,48169.56384,0,0,0,0,0,48169.56384,2656506.817,10650.88094,2665255.109,0.018132671,0,0,0,0,0,0,0.018132671,1,1,1,3,8,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky3740,kasky,3740,Lower,0,0,0,0,0,0,0,0,1340214.733,8450.065106,1341546.351,0,0,0,0,0,0,0,0,1,1,1,2,5,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3741,kasky,3741,Middle,0,1734376.193,0,0,101242.8428,0,0,1835619.036,5609253.192,15461.62877,5622149.196,0.309199128,0,0,0,0.018049255,0,0,0.327248383,1,1,1,3,5,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3742,kasky,3742,Middle,0,1001073.537,0,0,101818.3398,0,0,1102891.877,1999278.933,7377.998478,2004004.371,0.500717294,0,0,0,0.050927531,0,0,0.551644825,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3743,kasky,3743,Lower,0,2543911.968,0,132140.4284,66521.42185,0,0,2742573.818,5170690.128,17868.89217,5177619.957,0.491986931,0,0,0.025555666,0.012865095,0,0,0.530407692,2,4,68,4,69,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3744,kasky,3744,Lower,0,40383.29887,0,0,0,0,0,40383.29887,2612220.252,10865.80488,2615641.43,0.015459377,0,0,0,0,0,0,0.015459377,1,1,1,4,69,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3745,kasky,3745,Lower,0,0,0,0,0,0,0,0,2955207.412,12435.20496,2958845.996,0,0,0,0,0,0,0,0,1,1,1,2,4,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3746,kasky,3746,Lower,0,0,0,0,0,0,0,0,4721229.146,13943.94282,4726935.237,0,0,0,0,0,0,0,0,1,2,3,2,4,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3747,kasky,3747,Middle,0,2421717.637,0,417345.095,126591.2557,0,667041.9214,3632695.909,12008234.56,22340.13252,12028894.29,0.201671413,0,0,0.034754909,0.010542037,0,0.055548709,0.302517068,2,4,29,5,163,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3748,kasky,3748,Middle,0,0,0,0,0,0,0,0,1500344.18,8998.295155,1503448.665,0,0,0,0,0,0,0,0,1,1,1,2,4,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3749,kasky,3749,Lower,0,0,0,0,0,0,0,0,685124.1715,5854.333847,685820.1356,0,0,0,0,0,0,0,0,1,2,6,2,7,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky375,kasky,375,Upper,0,0,0,0,0,0,0,0,2370253.228,12203.57229,2376929.922,0,0,0,0,0,0,0,0,1,2,4,3,8,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky3750,kasky,3750,Shoal,0,0,0,0,0,0,0,0,2159982.745,9599.302434,2163274.451,0,0,0,0,0,0,0,0,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3751,kasky,3751,Shoal,0,0,0,0,0,0,0,0,3996991.794,13342.66585,4003057.128,0,0,0,0,0,0,0,0,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3752,kasky,3752,Lower,0,0,0,0,0,0,0,0,1545817.111,7907.265176,1547402.124,0,0,0,0,0,0,0,0,1,1,1,2,8,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3753,kasky,3753,Lower,0,0,0,0,0,0,0,0,711499.2919,5311.465,712224.298,0,0,0,0,0,0,0,0,1,2,7,2,8,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3754,kasky,3754,Middle,0,0,0,28157.54634,45262.8562,0,0,73420.40254,1142785.453,7005.769892,1145282.376,0,0,0,0.024639399,0.039607484,0,0,0.064246882,1,1,1,1,90001,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3755,kasky,3755,Lower,0,0,0,88926.68394,72621.4816,0,0,161548.1655,1444823.786,7364.012079,1446397.303,0,0,0,0.061548463,0.05026321,0,0,0.111811674,2,5,195,5,196,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3756,kasky,3756,Shoal,0,0,0,0,0,0,0,0,82793.71124,1630.079685,82918.68762,0,0,0,0,0,0,0,0,1,2,2,2,3,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3757,kasky,3757,Shoal,0,133579.2496,0,0,0,0,0,133579.2496,1150961.153,6822.16187,1152688.796,0.116058869,0,0,0,0,0,0,0.116058869,1,1,1,2,3,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3758,kasky,3758,Lower,0,0,0,0,0,0,0,0,4313584.934,16599.20617,4318396.524,0,0,0,0,0,0,0,0,1,1,1,5,196,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3759,kasky,3759,Shoal,0,1113443.191,0,0,439406.3352,0,0,1552849.526,3975111.994,12194.8477,3980854.109,0.280103603,0,0,0,0.11053936,0,0,0.390642963,1,1,1,6,394,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky376,kasky,376,Upper,0,230959.1846,0,0,0,333042.6867,0,564001.8713,1509456.778,8457.185198,1513354.586,0.153008147,0,0,0,0,0.220637445,0,0.373645592,1,2,2,3,4,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky3760,kasky,3760,Shoal,0,0,0,0,0,0,0,0,985375.1768,6701.363958,986777.3752,0,0,0,0,0,0,0,0,2,6,393,6,394,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3761,kasky,3761,Lower,0,0,0,0,0,0,0,0,48212.86185,1327.816658,48262.47342,0,0,0,0,0,0,0,0,1,2,8,3,16,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3763,kasky,3763,Lower,0,0,0,0,0,0,0,0,1355669.262,6639.227185,1357030.204,0,0,0,0,0,0,0,0,1,1,1,2,7,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3764,kasky,3764,Middle,0,0,0,0,32763.51045,0,0,32763.51045,1005368.114,5677.389023,1007632.029,0,0,0,0,0.032588571,0,0,0.032588571,1,3,7,3,8,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
